variable,paper_id,agent_A,agent_B,agent_C,agent_D,conflict_class,priority,proposed_consensus,decision_type(多数/僵持/专家),rationale_rule_ids(如:R1|R3),evidence_anchor_ids(如:E2|E5),comments,decided_by,decided_at
MethodFamily,34,199,102,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.996489
MethodFamily,36,102,101,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.998105
MethodFamily,37,102,102,102,199,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:23.999885
MethodFamily,38,102,102,102,199,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.001413
MethodFamily,39,102,102,102,105,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.002898
MethodFamily,40,102,102,102,107,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.004475
MethodFamily,41,101,101,102,105,多派分歧,3,101.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.006305
MethodFamily,42,102,101,102,105,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.007724
MethodFamily,43,102,101,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.009471
MethodFamily,45,101,102,102,199,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.011075
MethodFamily,48,102,102,102,107,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.012629
MethodFamily,49,102,101,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.014234
MethodFamily,50,102,102,102,105,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.015831
MethodFamily,51,199,101,102,105,多派分歧,3,199.0,多数,R_MF_02,,R_MF_02：不足两项阈值，名词性比较占主，暂留199（规范/思辨—不充分）。,PI,2025-10-07T07:37:59.392470
MethodFamily,52,199,102,102,105,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.019557
MethodFamily,53,199,101,102,105,多派分歧,3,199.0,多数,R_MF_02,,R_MF_02：不足两项阈值，名词性比较占主，暂留199（规范/思辨—不充分）。,PI,2025-10-07T07:37:59.392470
MethodFamily,54,199,101,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.022878
MethodFamily,55,199,101,102,105,多派分歧,3,199.0,多数,R_MF_02,,R_MF_02：不足两项阈值，名词性比较占主，暂留199（规范/思辨—不充分）。,PI,2025-10-07T07:37:59.392470
MethodFamily,56,199,101,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.026233
MethodFamily,57,199,102,102,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.027874
MethodFamily,58,199,102,102,107,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.029854
MethodFamily,59,102,102,102,107,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.031670
MethodFamily,60,102,102,102,199,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.033336
MethodFamily,61,199,101,102,105,多派分歧,3,199.0,多数,R_MF_02,,R_MF_02：不足两项阈值，名词性比较占主，暂留199（规范/思辨—不充分）。,PI,2025-10-07T07:37:59.392470
MethodFamily,62,102,102,199,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.036397
MethodFamily,63,102,101,199,199,多派分歧,3,199.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.038003
MethodFamily,64,199,102,199,105,多派分歧,3,199.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.039779
MethodFamily,65,102,102,199,107,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.041532
MethodFamily,66,101,102,199,105,多派分歧,3,199.0,多数,R_MF_02,,R_MF_02：不足两项阈值，名词性比较占主，暂留199（规范/思辨—不充分）。,PI,2025-10-07T07:37:59.392470
MethodFamily,67,101,101,199,102,多派分歧,3,101.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.044795
MethodFamily,68,102,102,107,102,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.046492
MethodFamily,69,102,102,107,105,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.048035
MethodFamily,70,102,101,107,105,多派分歧,3,102.0,多数,R_MF_02,,R_MF_02：已满足两项以上阈值（如‘预设比较维度’与‘对照基准’），判为102（比较研究）。,PI,2025-10-07T07:37:59.392470
MethodFamily,71,102,101,107,105,多派分歧,3,102.0,多数,R_MF_02,,R_MF_02：已满足两项以上阈值（如‘预设比较维度’与‘对照基准’），判为102（比较研究）。,PI,2025-10-07T07:37:59.392470
MethodFamily,72,107,101,107,102,多派分歧,3,107.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.053031
MethodFamily,73,107,101,107,105,多派分歧,3,107.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.054892
MethodFamily,74,107,101,107,105,多派分歧,3,107.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.056992
MethodFamily,75,107,102,107,199,多派分歧,3,107.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.060394
MethodFamily,76,107,101,107,105,多派分歧,3,107.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.063634
MethodFamily,77,107,102,107,105,多派分歧,3,107.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.065369
MethodFamily,78,102,102,107,103,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.067079
MethodFamily,79,103,101,103,105,多派分歧,3,103.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.068833
MethodFamily,80,102,102,102,199,多派分歧,3,102.0,多数,R_MF_01,,R_MF_01：按程序锚点识别具体方法门类。,PI,2025-10-06T12:45:24.070801
MethodTag,1,40,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.072457
MethodTag,2,40,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.074142
MethodTag,3,10,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.075724
MethodTag,4,40,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.077398
MethodTag,5,10,20,40,10,多派分歧,3,10.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.078932
MethodTag,7,10,20,30,10,多派分歧,3,10.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.080534
MethodTag,8,30,20,30,30,多派分歧,3,30.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.082313
MethodTag,9,10,20,30,10,多派分歧,3,10.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.083861
MethodTag,10,40,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.085715
MethodTag,11,10,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.088801
MethodTag,12,40,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.090705
MethodTag,14,20,20,10,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.092233
MethodTag,15,20,20,30,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.094030
MethodTag,16,20,20,30,10,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.095732
MethodTag,17,20,20,30,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.097343
MethodTag,18,40,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.099078
MethodTag,19,10,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.100862
MethodTag,26,20,20,20,10,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.102604
MethodTag,28,20,20,20,10,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.104397
MethodTag,32,20,20,20,10,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.106157
MethodTag,34,10,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.107849
MethodTag,37,20,20,20,10,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.111349
MethodTag,38,20,20,20,10,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.112950
MethodTag,40,20,20,20,30,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.115046
MethodTag,45,20,20,20,10,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.116581
MethodTag,48,20,20,20,30,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.119859
MethodTag,51,10,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.121537
MethodTag,52,10,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.123258
MethodTag,53,10,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.124936
MethodTag,54,10,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.126641
MethodTag,55,10,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.128227
MethodTag,56,10,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.130090
MethodTag,57,10,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.132121
MethodTag,58,10,20,20,30,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.133712
MethodTag,59,20,20,20,30,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.136398
MethodTag,60,20,20,20,10,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.138317
MethodTag,61,10,20,20,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.139820
MethodTag,62,20,20,10,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.141612
MethodTag,63,20,20,40,10,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.143711
MethodTag,64,10,20,40,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.145175
MethodTag,65,20,20,40,30,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.146890
MethodTag,66,20,20,40,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.148454
MethodTag,67,20,20,40,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.151250
MethodTag,68,20,20,30,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.152761
MethodTag,69,20,20,30,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.154474
MethodTag,70,20,20,30,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.155984
MethodTag,71,20,20,30,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.157633
MethodTag,75,30,20,30,10,多派分歧,3,30.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.159221
MethodTag,78,20,20,30,20,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.160709
MethodTag,80,20,20,20,10,多派分歧,3,20.0,多数,R_TAG_01,,R_TAG_01：按题旨与方法文本的功能性标签归类。,PI,2025-10-06T12:45:24.162533
MethodTransparency,8,3,3,1,3,严重分歧,3,3.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.164088
MethodTransparency,13,1,1,0,2,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.165753
MethodTransparency,14,2,1,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.167547
MethodTransparency,15,3,1,1,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.169149
MethodTransparency,21,2,1,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.171518
MethodTransparency,22,2,1,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.172896
MethodTransparency,23,2,1,0,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.174679
MethodTransparency,24,2,1,0,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.176318
MethodTransparency,26,3,1,2,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.178320
MethodTransparency,28,3,1,2,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.179925
MethodTransparency,29,3,1,2,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.181818
MethodTransparency,32,3,1,2,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.183641
MethodTransparency,35,3,1,2,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.185067
MethodTransparency,36,3,1,2,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.186823
MethodTransparency,37,3,1,2,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.188537
MethodTransparency,38,3,1,2,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.190510
MethodTransparency,39,3,1,2,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.192089
MethodTransparency,40,3,1,2,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.193839
MethodTransparency,42,3,1,2,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.195710
MethodTransparency,44,3,1,2,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.197611
MethodTransparency,45,3,1,2,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.199479
MethodTransparency,46,3,1,2,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.201159
MethodTransparency,47,3,1,2,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.207482
MethodTransparency,62,2,1,0,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.208953
MethodTransparency,63,2,2,0,1,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.210697
MethodTransparency,64,2,1,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.212297
MethodTransparency,65,2,1,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.213779
MethodTransparency,66,2,1,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.215429
MethodTransparency,67,2,1,0,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.216838
MethodTransparency,68,2,1,0,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.218466
MethodTransparency,69,2,1,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.219963
MethodTransparency,70,1,2,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.222042
MethodTransparency,71,1,2,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.223763
MethodTransparency,72,2,2,0,1,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.225135
MethodTransparency,73,2,2,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.226672
MethodTransparency,74,2,1,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.228144
MethodTransparency,75,2,1,0,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.229744
MethodTransparency,76,2,2,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.231284
MethodTransparency,77,2,1,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.232664
MethodTransparency,78,2,1,0,1,严重分歧,3,1.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.234207
MethodTransparency,79,2,2,0,2,严重分歧,3,2.0,多数,R_TR_01,,R_TR_01：按七项可复核线索计数形成分档。,PI,2025-10-06T12:45:24.235531
Methodology,1,1,3,3,3,多派分歧,3,3.0,多数,R_MD_01,,R_MD_01：依据研究方式层级规范进行判定。,PI,2025-10-06T12:45:24.237051
Methodology,2,1,3,3,3,多派分歧,3,3.0,多数,R_MD_01,,R_MD_01：依据研究方式层级规范进行判定。,PI,2025-10-06T12:45:24.238535
