paper_id,variable,votes,majority,proposed_consensus,decision_type,tie_votes,mismatch_pc_vs_majority,flag_reason,source_file
23,MethodNormativity,"[2, 2, 1, 1]",2,2.0,多数,True,False,tie_marked_as_majority,result
34,MethodNormativity,"[1, 2, 2, 1]",1,1.0,多数,True,False,tie_marked_as_majority,result
54,MethodNormativity,"[1, 2, 2, 1]",1,1.0,多数,True,False,tie_marked_as_majority,result
63,MethodNormativity,"[2, 2, 1, 1]",2,2.0,多数,True,False,tie_marked_as_majority,result
64,MethodNormativity,"[1, 2, 1, 2]",1,1.0,多数,True,False,tie_marked_as_majority,result
80,MethodNormativity,"[2, 2, 1, 1]",2,2.0,多数,True,False,tie_marked_as_majority,result
16,MethodTransparency,"[1, 2, 1, 1]",1,,,False,True,proposed_mismatch_majority,result
17,MethodTransparency,"[2, 1, 1, 2]",2,,,True,True,proposed_mismatch_majority,result
18,MethodTransparency,"[2, 1, 1, 1]",1,,,False,True,proposed_mismatch_majority,result
19,MethodTransparency,"[1, 1, 1, 2]",1,,,False,True,proposed_mismatch_majority,result
20,MethodTransparency,"[2, 1, 1, 2]",2,,,True,True,proposed_mismatch_majority,result
25,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
27,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
30,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
31,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
33,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
34,MethodTransparency,"[1, 1, 2, 1]",1,,,False,True,proposed_mismatch_majority,result
41,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
43,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
48,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
49,MethodTransparency,"[2, 2, 2, 1]",2,,,False,True,proposed_mismatch_majority,result
50,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
51,MethodTransparency,"[1, 2, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
52,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
53,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
54,MethodTransparency,"[2, 2, 2, 1]",2,,,False,True,proposed_mismatch_majority,result
55,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
56,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
57,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
58,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
59,MethodTransparency,"[2, 1, 2, 2]",2,,,False,True,proposed_mismatch_majority,result
60,MethodTransparency,"[2, 1, 2, 1]",2,,,True,True,proposed_mismatch_majority,result
