variable,paper_id,conflict_class,priority,agent_A,agent_B,agent_C,agent_D,proposed_consensus,decision_type(多数/僵持/专家),rationale_rule_ids(如:R1|R3),decided_by,decided_at,evidence_anchor_ids(如:E2|E5),comments
MethodTag,1,多派分歧,3,40,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,2,多派分歧,3,40,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,3,多派分歧,3,10,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,4,多派分歧,3,40,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,5,多派分歧,3,10,20,40,10,10.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,7,多派分歧,3,10,20,30,10,10.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,8,多派分歧,3,30,20,30,30,30.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,9,多派分歧,3,10,20,30,10,10.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,10,多派分歧,3,40,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,11,多派分歧,3,10,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,12,多派分歧,3,40,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,14,多派分歧,3,20,20,10,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,15,多派分歧,3,20,20,30,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,16,多派分歧,3,20,20,30,10,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,17,多派分歧,3,20,20,30,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,18,多派分歧,3,40,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,19,多派分歧,3,10,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,26,多派分歧,3,20,20,20,10,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,28,多派分歧,3,20,20,20,10,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,32,多派分歧,3,20,20,20,10,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,34,多派分歧,3,10,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,37,多派分歧,3,20,20,20,10,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,38,多派分歧,3,20,20,20,10,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,40,多派分歧,3,20,20,20,30,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,45,多派分歧,3,20,20,20,10,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,48,多派分歧,3,20,20,20,30,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,51,多派分歧,3,10,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,52,多派分歧,3,10,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,53,多派分歧,3,10,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,54,多派分歧,3,10,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,55,多派分歧,3,10,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,56,多派分歧,3,10,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,57,多派分歧,3,10,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,58,多派分歧,3,10,20,20,30,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,59,多派分歧,3,20,20,20,30,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,60,多派分歧,3,20,20,20,10,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,61,多派分歧,3,10,20,20,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,62,多派分歧,3,20,20,10,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,63,多派分歧,3,20,20,40,10,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,64,多派分歧,3,10,20,40,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,65,多派分歧,3,20,20,40,30,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,66,多派分歧,3,20,20,40,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,67,多派分歧,3,20,20,40,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,68,多派分歧,3,20,20,30,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,69,多派分歧,3,20,20,30,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,70,多派分歧,3,20,20,30,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,71,多派分歧,3,20,20,30,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,75,多派分歧,3,30,20,30,10,30.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,78,多派分歧,3,20,20,30,20,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTag,80,多派分歧,3,20,20,20,10,20.0,多数,,PI,2025-10-06T13:25:54Z,,
MethodTransparency,8,严重分歧,3,3,3,1,3,3.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,13,严重分歧,3,1,1,0,2,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,14,严重分歧,3,2,1,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,15,严重分歧,3,3,1,1,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,21,严重分歧,3,2,1,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,22,严重分歧,3,2,1,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,23,严重分歧,3,2,1,0,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,24,严重分歧,3,2,1,0,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,26,严重分歧,3,3,1,2,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,28,严重分歧,3,3,1,2,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,29,严重分歧,3,3,1,2,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,32,严重分歧,3,3,1,2,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,35,严重分歧,3,3,1,2,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,36,严重分歧,3,3,1,2,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,37,严重分歧,3,3,1,2,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,38,严重分歧,3,3,1,2,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,39,严重分歧,3,3,1,2,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,40,严重分歧,3,3,1,2,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,42,严重分歧,3,3,1,2,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,44,严重分歧,3,3,1,2,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,45,严重分歧,3,3,1,2,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,46,严重分歧,3,3,1,2,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,47,严重分歧,3,3,1,2,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,62,严重分歧,3,2,1,0,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,63,严重分歧,3,2,2,0,1,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,64,严重分歧,3,2,1,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,65,严重分歧,3,2,1,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,66,严重分歧,3,2,1,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,67,严重分歧,3,2,1,0,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,68,严重分歧,3,2,1,0,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,69,严重分歧,3,2,1,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,70,严重分歧,3,1,2,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,71,严重分歧,3,1,2,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,72,严重分歧,3,2,2,0,1,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,73,严重分歧,3,2,2,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,74,严重分歧,3,2,1,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,75,严重分歧,3,2,1,0,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,76,严重分歧,3,2,2,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,77,严重分歧,3,2,1,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,78,严重分歧,3,2,1,0,1,1.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
MethodTransparency,79,严重分歧,3,2,2,0,2,2.0,多数,R_TR_01,PI,2025-10-06T13:25:54Z,,
Methodology,1,多派分歧,3,1,3,3,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,2,多派分歧,3,1,3,3,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,3,多派分歧,3,1,3,3,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,4,多派分歧,3,1,3,3,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,5,多派分歧,3,1,3,1,1,1.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,7,多派分歧,3,1,3,2,1,1.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,9,多派分歧,3,1,3,2,1,1.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,10,多派分歧,3,1,3,3,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,11,多派分歧,3,1,3,3,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,12,多派分歧,3,1,3,3,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,13,多派分歧,3,1,3,1,2,1.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,14,多派分歧,3,3,3,1,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,15,多派分歧,3,3,3,2,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,16,多派分歧,3,3,2,2,1,2.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,18,多派分歧,3,1,3,3,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,19,多派分歧,3,1,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,21,多派分歧,3,3,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,22,多派分歧,3,3,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,26,多派分歧,3,3,3,3,1,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,28,多派分歧,3,3,3,3,1,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,30,多派分歧,3,3,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,31,多派分歧,3,3,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,32,多派分歧,3,3,3,3,1,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,34,多派分歧,3,1,3,3,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,37,多派分歧,3,3,3,3,1,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,38,多派分歧,3,3,3,3,1,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,39,多派分歧,3,3,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,40,多派分歧,3,3,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,41,多派分歧,3,3,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,42,多派分歧,3,3,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,45,多派分歧,3,3,3,3,1,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,48,多派分歧,3,3,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,50,多派分歧,3,3,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,51,多派分歧,3,1,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,52,多派分歧,3,1,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,53,多派分歧,3,1,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,54,多派分歧,3,1,3,3,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,55,多派分歧,3,1,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,56,多派分歧,3,1,3,3,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,57,多派分歧,3,1,3,3,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,58,多派分歧,3,1,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,59,多派分歧,3,3,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,60,多派分歧,3,3,3,3,1,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,61,多派分歧,3,1,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,62,多派分歧,3,3,3,1,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,64,多派分歧,3,1,3,1,2,1.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,65,多派分歧,3,3,3,1,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,66,多派分歧,3,3,3,1,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,67,多派分歧,3,3,3,1,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,68,多派分歧,3,3,3,2,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,73,多派分歧,3,2,3,2,2,2.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,74,多派分歧,3,2,3,2,2,2.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,75,多派分歧,3,2,3,2,1,2.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,76,多派分歧,3,2,3,2,4,2.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,77,多派分歧,3,2,3,2,2,2.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,78,多派分歧,3,3,3,2,3,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,79,多派分歧,3,3,3,3,2,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
Methodology,80,多派分歧,3,3,3,3,1,3.0,多数,R_MD_01,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,1,多派分歧,3,902,906,906,906,906.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,2,多派分歧,3,902,906,906,906,906.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,3,多派分歧,3,902,908,906,906,906.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,4,多派分歧,3,902,906,906,906,906.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,5,多派分歧,3,902,908,902,902,902.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,7,多派分歧,3,902,905,909,902,902.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,8,多派分歧,3,909,907,909,909,909.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,9,多派分歧,3,902,905,909,902,902.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,10,多派分歧,3,902,906,906,906,906.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,11,多派分歧,3,902,905,906,906,906.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,12,多派分歧,3,902,906,906,906,906.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,13,多派分歧,3,902,905,902,907,902.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,14,多派分歧,3,906,906,902,904,906.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,15,多派分歧,3,906,906,909,906,906.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,16,多派分歧,3,906,907,909,902,,僵持,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,17,多派分歧,3,906,906,909,907,906.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,18,多派分歧,3,902,906,904,906,906.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,19,多派分歧,3,902,905,904,907,,僵持,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,20,多派分歧,3,906,905,907,907,907.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,21,多派分歧,3,906,906,906,907,906.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,22,多派分歧,3,906,906,906,907,906.0,多数,,PI,2025-10-06T13:25:54Z,,
coder_notes_rule_code,26,多派分歧,3,906,905,906,902,906.0,多数,,PI,2025-10-06T13:25:54Z,,
