paper_id	variable	weight	unique_count	codes_set	A_code	B_code	C_code	D_code	rules_all	evidence_stub	proposed_rule_id	decision	minority_opinion	notes	auto_decision	auto_reason
13	MethodTransparency_codes	0.9	2	1|2	1	1		2	902|905|907							PENDING(tie or split 2-2)
14	MethodTransparency_codes	0.9	2	1|2	2	1		2	902|904|906							PENDING(tie or split 2-2)
16	MethodTransparency_codes	0.9	2	1|2	1	2	1	1	902|906|907|909		909				1	AUTO(majority 3/4)
18	MethodTransparency_codes	0.9	2	1|2	2	1	1	1	902|904|906		909				1	AUTO(majority 3/4)
19	MethodTransparency_codes	0.9	2	1|2	1	1	1	2	902|904|905|907		909				1	AUTO(majority 3/4)
34	MethodTransparency_codes	0.9	2	1|2	1	1	2	1	902|906		909				1	AUTO(majority 3/4)
51	MethodTransparency_codes	0.9	2	1|2	1	2	2	2	902|905|906|907		909				2	AUTO(majority 3/4)
52	MethodTransparency_codes	0.9	2	1|2	2	1	2	2	902|906|907		909				2	AUTO(majority 3/4)
53	MethodTransparency_codes	0.9	2	1|2	2	1	2	2	902|905|906|907		909				2	AUTO(majority 3/4)
54	MethodTransparency_codes	0.9	2	1|2	2	2	2	1	902|905|906		909				2	AUTO(majority 3/4)
55	MethodTransparency_codes	0.9	2	1|2	2	1	2	2	902|905|906|907		909				2	AUTO(majority 3/4)
56	MethodTransparency_codes	0.9	2	1|2	2	1	2	1	902|905|906							PENDING(tie or split 2-2)
57	MethodTransparency_codes	0.9	2	1|2	2	1	2	1	902|906							PENDING(tie or split 2-2)
58	MethodTransparency_codes	0.9	2	1|2	2	1	2	2	902|906|909		909				2	AUTO(majority 3/4)
60	MethodTransparency_codes	0.9	2	1|2	2	1	2	1	902|906							PENDING(tie or split 2-2)
62	MethodTransparency_codes	0.9	2	1|2	2	1		1	902|906							PENDING(tie or split 2-2)
63	MethodTransparency_codes	0.9	2	1|2	2	2		1	902|905|906							PENDING(tie or split 2-2)
64	MethodTransparency_codes	0.9	2	1|2	2	1		2	902|906|907							PENDING(tie or split 2-2)
65	MethodTransparency_codes	0.9	2	1|2	2	1		2	902|906|909							PENDING(tie or split 2-2)
13	Methodology_codes	0.8	3	1|2|3	1	3	1	2	902|905|907							PENDING(tie or split 2-2)
16	Methodology_codes	0.8	3	1|2|3	3	2	2	1	902|906|907|909							PENDING(tie or split 2-2)
19	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|904|905|907							PENDING(tie or split 2-2)
51	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|905|906|907							PENDING(tie or split 2-2)
52	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|906|907							PENDING(tie or split 2-2)
53	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|905|906|907							PENDING(tie or split 2-2)
55	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|905|906|907							PENDING(tie or split 2-2)
58	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|906|909							PENDING(tie or split 2-2)
64	Methodology_codes	0.8	3	1|2|3	1	3	1	2	902|906|907							PENDING(tie or split 2-2)
65	Methodology_codes	0.8	3	1|2|3	3	3	1	2	902|906|909							PENDING(tie or split 2-2)
14	Methodology_codes	0.8	2	1|3	3	3	1	3	902|904|906		909				3	AUTO(majority 3/4)
18	Methodology_codes	0.8	2	1|3	1	3	3	3	902|904|906		909				3	AUTO(majority 3/4)
26	Methodology_codes	0.8	2	1|3	3	3	3	1	902|905|906		909				3	AUTO(majority 3/4)
28	Methodology_codes	0.8	2	1|3	3	3	3	1	902|906		909				3	AUTO(majority 3/4)
32	Methodology_codes	0.8	2	1|3	3	3	3	1	902|906		909				3	AUTO(majority 3/4)
34	Methodology_codes	0.8	2	1|3	1	3	3	3	902|906		909				3	AUTO(majority 3/4)
37	Methodology_codes	0.8	2	1|3	3	3	3	1	902|906		909				3	AUTO(majority 3/4)
38	Methodology_codes	0.8	2	1|3	3	3	3	1	902|906		909				3	AUTO(majority 3/4)
45	Methodology_codes	0.8	2	1|3	3	3	3	1	902|905|906		909				3	AUTO(majority 3/4)
54	Methodology_codes	0.8	2	1|3	1	3	3	3	902|905|906		909				3	AUTO(majority 3/4)
56	Methodology_codes	0.8	2	1|3	1	3	3	3	902|905|906		909				3	AUTO(majority 3/4)
57	Methodology_codes	0.8	2	1|3	1	3	3	3	902|906		909				3	AUTO(majority 3/4)
60	Methodology_codes	0.8	2	1|3	3	3	3	1	902|906		909				3	AUTO(majority 3/4)
62	Methodology_codes	0.8	2	1|3	3	3	1	3	902|906		909				3	AUTO(majority 3/4)
63	Methodology_codes	0.8	2	1|3	3	3	1	1	902|905|906							PENDING(tie or split 2-2)
16	MethodTag_codes	0.7	3	10|20|30	20	20	30	10	902|906|907|909							PENDING(tie or split 2-2)
58	MethodTag_codes	0.7	3	10|20|30	10	20	20	30	902|906|909							PENDING(tie or split 2-2)
63	MethodTag_codes	0.7	3	10|20|40	20	20	40	10	902|905|906							PENDING(tie or split 2-2)
64	MethodTag_codes	0.7	3	10|20|40	10	20	40	20	902|906|907							PENDING(tie or split 2-2)
65	MethodTag_codes	0.7	3	20|30|40	20	20	40	30	902|906|909							PENDING(tie or split 2-2)
13	MethodTag_codes	0.7	2	10|20	10	20	10	20	902|905|907							PENDING(tie or split 2-2)
14	MethodTag_codes	0.7	2	10|20	20	20	10	20	902|904|906		909				20	AUTO(majority 3/4)
18	MethodTag_codes	0.7	2	20|40	40	20	20	20	902|904|906		909				20	AUTO(majority 3/4)
19	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|904|905|907		909				20	AUTO(majority 3/4)
26	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|905|906		909				20	AUTO(majority 3/4)
28	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|906		909				20	AUTO(majority 3/4)
32	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|906		909				20	AUTO(majority 3/4)
34	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|906		909				20	AUTO(majority 3/4)
37	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|906		909				20	AUTO(majority 3/4)
38	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|906		909				20	AUTO(majority 3/4)
45	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|905|906		909				20	AUTO(majority 3/4)
51	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|905|906|907		909				20	AUTO(majority 3/4)
52	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|906|907		909				20	AUTO(majority 3/4)
53	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|905|906|907		909				20	AUTO(majority 3/4)
54	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|905|906		909				20	AUTO(majority 3/4)
55	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|905|906|907		909				20	AUTO(majority 3/4)
56	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|905|906		909				20	AUTO(majority 3/4)
57	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|906		909				20	AUTO(majority 3/4)
60	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|906		909				20	AUTO(majority 3/4)
62	MethodTag_codes	0.7	2	10|20	20	20	10	20	902|906		909				20	AUTO(majority 3/4)
13	MethodNormativity_codes	0.6	2	1|2	1	2	1	1	902|905|907		909				1	AUTO(majority 3/4)
14	MethodNormativity_codes	0.6	2	1|2	2	2	1	2	902|904|906		909				2	AUTO(majority 3/4)
16	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|906|907|909		909				2	AUTO(majority 3/4)
18	MethodNormativity_codes	0.6	2	1|2	1	2	2	1	902|904|906							PENDING(tie or split 2-2)
19	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|904|905|907		909				2	AUTO(majority 3/4)
26	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|905|906		909				2	AUTO(majority 3/4)
28	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|906		909				2	AUTO(majority 3/4)
32	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|906		909				2	AUTO(majority 3/4)
34	MethodNormativity_codes	0.6	2	1|2	1	2	2	1	902|906							PENDING(tie or split 2-2)
37	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|906		909				2	AUTO(majority 3/4)
38	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|906		909				2	AUTO(majority 3/4)
45	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|905|906		909				2	AUTO(majority 3/4)
51	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|905|906|907		909				2	AUTO(majority 3/4)
52	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|906|907		909				2	AUTO(majority 3/4)
53	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|905|906|907		909				2	AUTO(majority 3/4)
54	MethodNormativity_codes	0.6	2	1|2	1	2	2	1	902|905|906							PENDING(tie or split 2-2)
55	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|905|906|907		909				2	AUTO(majority 3/4)
56	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|905|906		909				2	AUTO(majority 3/4)
57	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|906		909				2	AUTO(majority 3/4)
58	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|906|909		909				2	AUTO(majority 3/4)
60	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|906		909				2	AUTO(majority 3/4)
62	MethodNormativity_codes	0.6	2	1|2	2	2	1	2	902|906		909				2	AUTO(majority 3/4)
63	MethodNormativity_codes	0.6	2	1|2	2	2	1	1	902|905|906							PENDING(tie or split 2-2)
64	MethodNormativity_codes	0.6	2	1|2	1	2	1	2	902|906|907							PENDING(tie or split 2-2)
65	MethodNormativity_codes	0.6	2	1|2	2	2	1	2	902|906|909		909				2	AUTO(majority 3/4)
