paper_id	variable	weight	unique_count	codes_set	A_code	B_code	C_code	D_code	rules_all	evidence_stub	proposed_rule_id	decision	minority_opinion	notes	auto_decision	auto_reason
65	MethodTransparency_codes	0.9	2	1|2	2	1		2	902|906|909							PENDING(tie or split 2-2)
13	Methodology_codes	0.8	3	1|2|3	1	3	1	2	902|905|907							PENDING(tie or split 2-2)
16	Methodology_codes	0.8	3	1|2|3	3	2	2	1	902|906|907|909							PENDING(tie or split 2-2)
19	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|904|905|907							PENDING(tie or split 2-2)
51	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|905|906|907							PENDING(tie or split 2-2)
52	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|906|907							PENDING(tie or split 2-2)
53	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|905|906|907							PENDING(tie or split 2-2)
55	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|905|906|907							PENDING(tie or split 2-2)
58	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|906|909							PENDING(tie or split 2-2)
64	Methodology_codes	0.8	3	1|2|3	1	3	1	2	902|906|907							PENDING(tie or split 2-2)
65	Methodology_codes	0.8	3	1|2|3	3	3	1	2	902|906|909							PENDING(tie or split 2-2)
63	Methodology_codes	0.8	2	1|3	3	3	1	1	902|905|906							PENDING(tie or split 2-2)
16	MethodTag_codes	0.7	3	10|20|30	20	20	30	10	902|906|907|909							PENDING(tie or split 2-2)
58	MethodTag_codes	0.7	3	10|20|30	10	20	20	30	902|906|909							PENDING(tie or split 2-2)
63	MethodTag_codes	0.7	3	10|20|40	20	20	40	10	902|905|906							PENDING(tie or split 2-2)
64	MethodTag_codes	0.7	3	10|20|40	10	20	40	20	902|906|907							PENDING(tie or split 2-2)
65	MethodTag_codes	0.7	3	20|30|40	20	20	40	30	902|906|909							PENDING(tie or split 2-2)
13	MethodTag_codes	0.7	2	10|20	10	20	10	20	902|905|907							PENDING(tie or split 2-2)
18	MethodNormativity_codes	0.6	2	1|2	1	2	2	1	902|904|906							PENDING(tie or split 2-2)
34	MethodNormativity_codes	0.6	2	1|2	1	2	2	1	902|906							PENDING(tie or split 2-2)
54	MethodNormativity_codes	0.6	2	1|2	1	2	2	1	902|905|906							PENDING(tie or split 2-2)
63	MethodNormativity_codes	0.6	2	1|2	2	2	1	1	902|905|906							PENDING(tie or split 2-2)
64	MethodNormativity_codes	0.6	2	1|2	1	2	1	2	902|906|907							PENDING(tie or split 2-2)
